'Trem Bala','Ana Vilela','Não é sobre ter todas as pessoas do mundo pra si É sobre saber que em algum lugar alguém zela por ti É sobre cantar e poder escutar mais do que a própria voz É sobre dançar na chuva de vida que cai sobre nós É saber se sentir infinito Num universo tão vasto e bonito, é saber sonhar Então fazer valer a pena Cada verso daquele poema sobre acreditar Não é sobre chegar No topo do mundo e saber que venceu É sobre escalar e sentir que o caminho te fortaleceu É sobre ser abrigo E também ter morada em outros corações E assim ter amigos contigo em todas as situações A gente não pode ter tudo Qual seria a graça do mundo se fosse assim? Por isso eu prefiro sorrisos E os presentes que a vida trouxe pra perto de mim Não é sobre tudo que o seu dinheiro é capaz de comprar E sim sobre cada momento, sorriso a se compartilhar Também não é sobre Correr contra o tempo pra ter sempre mais Porque quando menos se espera a vida já ficou pra trás Segura teu filho no colo Sorria e abraça os teus pais enquanto estão aqui Que a vida é trem-bala parceiro E a gente é só passageiro prestes a partir Laiá, laiá, laiá, laiá, laiá Laiá, laiá, laiá, laiá, laiá Segura teu filho no colo Sorria e abraça os teus pais enquanto estão aqui Que a vida é trem-bala parceiro E a gente é só passageiro prestes a partir'
'Asa Branca','Luiz Gonzaga','Quando olhei a terra ardendo Igual fogueira de São João Eu perguntei a Deus do céu, ai Por que tamanha judiação Eu perguntei a Deus do céu, ai Por que tamanha judiação Que braseiro, que fornalha Nem um pé de plantação Por falta d água perdi meu gado Morreu de sede meu alazão Por farta d água perdi meu gado Morreu de sede meu alazão Até mesmo a asa branca Bateu asas do sertão Depois eu disse, adeus Rosinha Guarda contigo meu coração Depois eu disse, adeus Rosinha Guarda contigo meu coração Hoje longe, muitas léguas Numa triste solidão Espero a chuva cair de novo Pra mim voltar pro meu sertão Espero a chuva cair de novo Pra mim voltar pro meu sertão Quando o verde dos teus olhos Se espalhar na plantação Eu te asseguro não chore não, viu Que eu voltarei, viu Meu coração Eu te asseguro não chore não, viu Que eu voltarei, viu Meu coração'
'Paula e Bebeto','Milton Nascimento','Vida vida que amor brincadeira, vera Eles amaram de qualquer maneira, vera Qualquer maneira de amor vale a pena Qualquer maneira de amor vale amar Pena que pena que coisa bonita, diga Qual a palavra que nunca foi dita, diga Qualquer maneira de amor vale aquela Qualquer maneira de amor vale amar Qualquer maneira de amor vale a pena Qualquer maneira de amor valerá Eles partiram por outros assuntos, muitos Mas no meu canto estarão sempre juntos, muito Qualquer maneira que eu cante esse canto Qualquer maneira me vale cantar Eles se amam de qualquer maneira, vera Eles se amam e pra vida inteira, vera Qualquer maneira de amor vale o canto Qualquer maneira me vale cantar Qualquer maneira de amor vale aquela Qualquer maneira de amor valerá Pena que pena que coisa bonita, diga Qual a palavra que nunca foi dita, diga Qualquer maneira de amor vale o canto Qualquer maneira me vale cantar Qualquer maneira de amor vale aquela Qualquer maneira de amor valerá'
'Olha Pro Céu','Luiz Gonzaga','Olha pro céu, meu amor Vê como ele está lindo Olha praquele balão multicor Como no céu vai sumindo Olha pro céu, meu amor Vê como ele está lindo Olha praquele balão multicor Como no céu vai sumindo Foi numa noite igual a esta Que tu me deste o coração O céu estava assim em festa Pois era noite de São João Havia balões no ar Xote, baião no salão E no terreiro o teu olhar Que incendiou meu coração Olha pro céu, meu amor Vê como ele está lindo Olha praquele balão multicor Como no céu vai sumindo Olha pro céu, meu amor Vê como ele está lindo Olha praquele balão multicor Como no céu vai sumindo'
'Chão de Giz','Zé Ramalho','Eu desço dessa solidão Espalho coisas Sobre um Chão de Giz Há meros devaneios tolos A me torturar Fotografias recortadas Em jornais de folhas Amiúde! Eu vou te jogar Num pano de guardar confetes Eu vou te jogar Num pano de guardar confetes Disparo balas de canhão É inútil, pois existe Um grão-vizir Há tantas violetas velhas Sem um colibri Queria usar, quem sabe Uma camisa de força Ou de vênus Mas não vou gozar de nós Apenas um cigarro Nem vou lhe beijar Gastando assim o meu batom Agora pego Um caminhão na lona Vou a nocaute outra vez Pra sempre fui acorrentado No seu calcanhar Meus vinte anos de boy That s over, baby! Freud explica Não vou me sujar Fumando apenas um cigarro Nem vou lhe beijar Gastando assim o meu batom Quanto ao pano dos confetes Já passou meu carnaval E isso explica porque o sexo É assunto popular No mais, estou indo embora! No mais, estou indo embora! No mais, estou indo embora! No mais!'
'De Janeiro a Janeiro (part. Nando Reis)','Roberta Campos','Não consigo olhar no fundo dos seus olhos E enxergar as coisas que me deixam no ar, deixam no ar As várias fases, estações que me levam com o vento E o pensamento bem devagar Outra vez, eu tive que fugir Eu tive que correr, pra não me entregar Às loucuras que me levam até você Me fazem esquecer que eu não posso chorar Olhe bem no fundo dos meus olhos E sinta a emoção que nascerá quando você me olhar O universo conspira a nosso favor A consequência do destino é o amor Pra sempre vou te amar Mas talvez você não entenda Essa coisa de fazer o mundo acreditar Que meu amor não será passageiro Te amarei de janeiro a janeiro Até o mundo acabar Até o mundo acabar Até o mundo acabar Até o mundo acabar Mas talvez você não entenda Essa coisa de fazer o mundo acreditar Que meu amor não será passageiro Te amarei de janeiro a janeiro Até o mundo acabar Até o mundo acabar Até o mundo acabar Até o mundo acabar De janeiro a janeiro'
'Sozinho','Caetano Veloso','Às vezes no silêncio da noite Eu fico imaginando nós dois Eu fico ali sonhando acordado Juntando o antes, o agora e o depois Por que você me deixa tão solto? Por que você não cola em mim? Tô me sentindo muito sozinho Não sou nem quero ser o seu dono É que um carinho às vezes cai bem Eu tenho os meus desejos e planos secretos Só abro pra você mais ninguém Por que você me esquece e some? E se eu me interessar por alguém? E se ela, de repente, me ganha? Quando a gente gosta É claro que a gente cuida Fala que me ama Só que é da boca pra fora Ou você me engana Ou não está madura Onde está você agora? Quando a gente gosta É claro que a gente cuida Fala que me ama Só que é da boca pra fora Ou você me engana Ou não está madura Onde está você agora?'
'Simples Assim','Lenine','Do alto da arrogância qualquer homem Se imagina muito mais do que consegue ser É que vendo lá de cima, a ilusão que lhe domina Diz que pode muito antes de querer Querer não é questão, não justifica o fim Pra quê complicação, é simples assim Focado no seu mundo qualquer homem Imagina muito menos do que pode ver No escuro do seu quarto ignora o céu lá fora E fica claro que ele não quer perceber Viver é uma questão de inicio, meio e fim Pra quê a solidão, é simples assim É, eu ando em busca dessa tal simplicidade É, não deve ser tão complicado assim É, se eu acredito, é minha verdade É simples assim E a vida continua surpreendentemente bela Mesmo quando nada nos sorri E a gente ainda insiste em ter alguma confiança Num futuro que ainda está por vir Viver é uma paixão do inicio, meio ao fim Pra quê complicação, é simples assim É, eu ando em busca dessa tal simplicidade É, não deve ser tão complicado assim É, se eu acredito, é minha verdade Eu vivo essa paixão do inicio, meio ao fim Pra quê a solidão, é simples assim Eu vivo essa paixão do inicio, meio ao fim Pra quê complicação, é simples assim'
'Aquarela','Toquinho','Numa folha qualquer eu desenho um sol amarelo E com cinco ou seis retas é fácil fazer um castelo Corro o lápis em torno da mão e me dou uma luva E se faço chover, com dois riscos tenho um guarda-chuva Se um pinguinho de tinta cai num pedacinho azul do papel Num instante imagino uma linda gaivota a voar no céu Vai voando, contornando a imensa curva norte-sul Vou com ela viajando Havaí, Pequim ou Istambul Pinto um barco a vela branco navegando É tanto céu e mar num beijo azul Entre as nuvens vem surgindo um lindo avião rosa e grená Tudo em volta colorindo, com suas luzes a piscar Basta imaginar e ele está partindo, sereno e lindo E se a gente quiser ele vai pousar Numa folha qualquer eu desenho um navio de partida Com alguns bons amigos bebendo de bem com a vida De uma América a outra consigo passar num segundo Giro um simples compasso e num círculo eu faço o mundo Um menino caminha e caminhando chega no muro E ali logo em frente a esperar pela gente o futuro está E o futuro é uma astronave que tentamos pilotar Não tem tempo nem piedade nem tem hora de chegar Sem pedir licença muda nossa vida Depois convida a rir ou chorar Nessa estrada não nos cabe conhecer ou ver o que virá O fim dela ninguém sabe bem ao certo onde vai dar Vamos todos numa linda passarela De uma aquarela que um dia enfim Descolorirá Numa folha qualquer eu desenho um sol amarelo Que descolorirá E com cinco ou seis retas é fácil fazer um castelo Que descolorirá Giro um simples compasso e num círculo eu faço o mundo Que descolorirá'
'Trem-Bala (Especial Dia Das Mães)','Ana Vilela','Não é sobre ter todas as pessoas do mundo pra si É sobre saber que, em algum lugar, alguém zela por ti É sobre, desde cedo, aprender a reconhecer a sua voz É sobre o amor infinito que sempre existiu entre nós É saber que você está comigo Nos momentos que eu mais preciso pra me acompanhar Então fazer valer a pena Cada verso daquele poema sobre o que é amar Não é sobre chegar no topo do mundo e saber que venceu É ver que você me ajudou a trilhar cada caminho meu É sobre ter abrigo e fazer morada no seu coração E se eu precisar, você sempre irá me estender sua mão A gente já passou por tudo Qual seria a graça da vida sem você aqui? Pra ser o meu porto seguro O presente que a vida me deu logo que eu nasci Não é sobre tudo que o seu dinheiro é capaz de comprar E sim sobre cada momento que juntas pudemos passar Contigo aprendi que o mais importante é ser do que ter E pelo que eu me tornei só tenho a te agradecer Você me segurou no colo Sorriu e entendeu realmente o que era amar E eu desde o primeiro dia Tão pequena, já soube que em ti podia confiar'
