'anunciacao','alceu valenca','na bruma leve das paixoes que vem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal na bruma leve das paixoes que vem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal tu vens  tu vens eu ja escuto os teus sinais tu vens  tu vens eu ja escuto os teus sinais a voz do anjo sussurrou no meu ouvido eu nao duvido ja escuto os teus sinais que tu virias numa manha de domingo eu te anuncio nos sinos das catedrais tu vens  tu vens eu ja escuto os teus sinais tu vens  tu vens eu ja escuto os teus sinais ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  na bruma leve das paixoes que vem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal tu vens  tu vens eu ja escuto os teus sinais tu vens  tu vens eu ja escuto os teus sinais a voz do anjo sussurrou no meu ouvido eu nao duvido ja escuto os teus sinais que tu virias numa manha de domingo eu te anuncio nos sinos das catedrais tu vens  tu vens eu ja escuto os teus sinais tu vens  tu vens eu ja escuto os teus sinais ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah '
'a noite','tie','palavras nao bastam  nao da pra entender e esse medo que cresce e nao para e uma historia que se complicou e eu sei bem o por que qual e o peso da culpa que eu carrego nos bracos  me entorta as costas e da um cansaco a maldade do tempo fez eu me afastar de voce e quando chega a noite e eu nao consigo dormir meu coracao acelera e eu sozinha aqui eu mudo o lado da cama  eu ligo a televisao olhos nos olhos no espelho e o telefone na mao pro tanto que eu te queria  o perto nunca bastava e essa proximidade nao dava me perdi no que era real e no que eu inventei reescrevi as memorias  deixei o cabelo crescer e te dedico uma linda historia confessa nem a maldade do tempo consegue me afastar de voce te contei tantos segredos que ja nao eram so meus rimas de um velho diario que nunca me pertenceu entre palavras nao ditas  tantas palavras de amor essa paixao e antiga e o tempo nunca passou e quando chega a noite  e eu nao consigo dormir meu coracao acelera e eu sozinha aqui eu mudo o lado da cama  eu ligo a televisao olhos nos olhos no espelho e o telefone na minha mao'
'joao de barro','maria gadu','o meu desafio e andar sozinho esperar no tempo os nossos destinos nao olhar pra tras  esperar a paz o que me traz a ausencia do seu olhar traz nas asas um novo dia me ensina a caminhar mesmo eu sendo menino  aprendi oh  meu deus  me traz de volta essa menina porque tudo que eu tenho e o seu amor joao de barro  eu te entendo agora por favor  me ensine como guardar meu amor o meu desafio e andar sozinho esperar no tempo os nossos destinos nao olhar pra tras  esperar a paz o que me traz a ausencia do seu olhar traz nas asas um novo dia me ensina a caminhar mesmo eu sendo menino  aprendi oh  meu deus  me traz de volta essa menina porque tudo que eu tenho e o seu amor joao de barro  eu te entendo agora por favor  me ensine como guardar meu amor oh  meu deus  me traz de volta essa menina porque tudo que eu tenho e o seu amor joao de barro  eu te entendo agora por favor  me ensine como guardar meu amor oh  meu deus  me traz de volta essa menina porque tudo que eu tenho e o seu amor joao de barro  eu te entendo agora por favor  me ensine como guardar meu amor meu amor'
'pra voce dar o nome','5 a seco','deixa pra la que de nada adianta esse papo de agora nao da que eu te quero e agora e nao posso e nem vou te esperar que esse lance de um tempo nunca funcionou pra nos dois sempre que der mande um sinal de vida de onde estiver dessa vez qualquer coisa que faca eu pensar que voce esta bem ou deitada nos bracos de um outro qualquer que e melhor do que sofrer de saudade de mim como eu to de voce  pode crer que essa dor eu nao quero pra ninguem no mundo imagina so pra voce quero e te ver dando volta no mundo indo atras de voce  sabe o que e rezando pra um dia voce se encontrar e perceber que o que falta em voce sou eu deixa pra la que de nada adianta esse papo de agora nao da que eu te quero e agora e nao posso e nem vou te esperar que esse lance de um tempo nunca funcionou pra nos dois sempre que der mande um sinal de vida de onde estiver dessa vez qualquer coisa que faca eu pensar que voce esta bem ou deitada nos bracos de um outro qualquer que e melhor do que sofrer de saudade de mim como eu to de voce  pode crer que essa dor eu nao quero pra ninguem no mundo imagina so pra voce quero e te ver dando volta no mundo indo atras de voce  sabe o que e rezando pra um dia voce se encontrar e perceber que o que falta em voce sou eu'
'ainda bem','marisa monte','ainda bem que agora encontrei voce eu realmente nao sei o que eu fiz pra merecer voce porque ninguem dava nada por mim quem dava  eu nao tava a fim ate desacreditei de mim o meu coracao ja estava acostumado com a solidao quem diria que a meu lado voce iria ficar voce veio pra ficar voce que me faz feliz voce que me faz cantar assim o meu coracao ja estava aposentado sem nenhuma ilusao tinha sido maltratado tudo se transformou agora voce chegou voce que me faz feliz voce que me faz cantar assim o meu coracao ja estava acostumado com a solidao quem diria que a meu lado voce iria ficar voce veio pra ficar voce que me faz feliz voce que me faz cantar assim o meu coracao ja estava aposentado sem nenhuma ilusao tinha sido maltratado tudo se transformou agora voce chegou voce que me faz feliz voce que me faz cantar assim ainda bem'
'velha infancia','tribalistas','voce e assim um sonho pra mim e quando eu nao te vejo eu penso em voce desde o amanhecer ate quando eu me deito eu gosto de voce e gosto de ficar com voce meu riso e tao feliz contigo o meu melhor amigo e o meu amor e a gente canta e a gente danca e a gente nao se cansa de ser crianca a gente brinca na nossa velha infancia seus olhos  meu clarao me guiam dentro da escuridao seus pes me abrem o caminho eu sigo e nunca me sinto so voce e assim um sonho pra mim quero te encher de beijos eu penso em voce desde o amanhecer ate quando eu me deito eu gosto de voce e gosto de ficar com voce meu riso e tao feliz contigo o meu melhor amigo e o meu amor e a gente canta a gente danca a gente nao se cansa de ser crianca a gente brinca na nossa velha infancia seus olhos  meu clarao me guiam dentro da escuridao seus pes me abrem o caminho eu sigo e nunca me sinto so voce e assim um sonho pra mim voce e assim voce e assim um sonho pra mim voce e assim  voce e assim um sonho pra mim e quando eu nao te vejo penso em voce desde o amanhecer ate quando eu me deito eu gosto de voce e gosto de ficar com voce meu riso e tao feliz contigo o meu melhor amigo e o meu amor '
'eu te devoro','djavan','teus sinais me confundem da cabeca aos pes mas por dentro eu te devoro teu olhar nao me diz exato quem tu es mesmo assim eu te devoro te devoraria a qualquer preco porque te ignoro ou te conheco quando chove ou quando faz frio noutro plano  te devoraria tal caetano a leonardo dicaprio e um milagre tudo que deus criou pensando em voce fez a via lactea  fez os dinossauros sem pensar em nada  fez a minha vida e te deu sem contar os dias que me faz morrer sem saber de ti  jogado a solidao mas se quer saber se eu quero outra vida nao  nao  teus sinais me confundem da cabeca aos pes mas por dentro eu te devoro teu olhar nao me diz exato quem tu es mesmo assim eu te devoro te devoraria a qualquer preco porque te ignoro ou te conheco quando chove ou quando faz frio noutro plano  te devoraria tal caetano a leonardo dicaprio e um milagre tudo que deus criou pensando em voce fez a via lactea  fez os dinossauros sem pensar em nada  fez a minha vida e te deu sem contar os dias que me faz morrer sem saber de ti  jogado a solidao mas se quer saber se eu quero outra vida nao  nao  eu quero mesmo e viver pra esperar  esperar devorar voce eu quero mesmo e viver pra esperar  esperar devorar voce viver  viver pra esperar voce quero viver pra esperar voce quero esperar voce'
'pra sonhar','marcelo jeneci','quando te vi passar fiquei paralisado tremi ate o chao como um terremoto no japao um vento  um tufao uma batedeira sem botao foi assim  viu me vi na sua mao perdi a hora de voltar para o trabalho voltei pra casa e disse adeus pra tudo que eu conquistei mil coisas eu deixei so pra te falar largo tudo se a gente se casar domingo na praia  no sol  no mar ou num navio a navegar num aviao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que ha uma historia pra sonhar pra sonhar o que era sonho se tornou realidade de pouco em pouco a gente foi erguendo o nosso proprio trem nossa jerusalem nosso mundo  nosso carrossel vai e vem vai e nao para nunca mais de tanto nao parar a gente chegou la do outro lado da montanha onde tudo comecou quando sua voz falou pra onde voce quiser eu vou largo tudo se a gente se casar domingo na praia  no sol  no mar ou num navio a navegar num aviao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que ha uma historia pra contar domingo na praia  no sol  no mar ou num navio a navegar num aviao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que ha uma historia pra contar pra contar'
'xote ecologico','luiz gonzaga','nao posso respirar  nao posso mais nadar a terra esta morrendo  nao da mais pra plantar e se plantar nao nasce  se nascer nao da ate pinga da boa e dificil de encontrar nao posso respirar  nao posso mais nadar a terra esta morrendo  nao da mais pra plantar e se plantar nao nasce  se nascer nao da ate pinga da boa e dificil de encontrar cade a flor que estava aqui  poluicao comeu e o peixe que e do mar  poluicao comeu e o verde onde e que esta  poluicao comeu nem o chico mendes sobreviveu'
'se','djavan','voce disse que nao sabe se nao mas tambem nao tem certeza que sim quer saber  quando e assim  deixa vir do coracao voce sabe que eu so penso em voce voce diz que vive pensando em mim pode ser  se e assim voce tem que largar a mao do nao soltar essa louca  arder de paixao nao ha como doer pra decidir so dizer sim ou nao mas voce adora um se eu levo a serio  mas voce disfarca voce me diz a beca e eu nessa de horror e me remete ao frio que vem la do sul insiste em zero a zero e eu quero um a um sei la o que te da  nao quer meu calor sao jorge  por favor  me empresta o dragao mais facil aprender japones em braile do que voce decidir se da ou nao'
