MUSICA,ARTISTA,LETRA
'anunciacccao','alceu valencca','na bruma leve das paixcoes que vcem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal na bruma leve das paixcoes que vcem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal tu vens  tu vens eu jca escuto os teus sinais tu vens  tu vens eu jca escuto os teus sinais a voz do anjo sussurrou no meu ouvido eu ncao duvido jca escuto os teus sinais que tu virias numa manhca de domingo eu te anuncio nos sinos das catedrais tu vens  tu vens eu jca escuto os teus sinais tu vens  tu vens eu jca escuto os teus sinais ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  na bruma leve das paixcoes que vcem de dentro tu vens chegando pra brincar no meu quintal no teu cavalo peito nu  cabelo ao vento e o sol quarando nossas roupas no varal tu vens  tu vens eu jca escuto os teus sinais tu vens  tu vens eu jca escuto os teus sinais a voz do anjo sussurrou no meu ouvido eu ncao duvido jca escuto os teus sinais que tu virias numa manhca de domingo eu te anuncio nos sinos das catedrais tu vens  tu vens eu jca escuto os teus sinais tu vens  tu vens eu jca escuto os teus sinais ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah  ah '
'a noite','tice','palavras ncao bastam  ncao dca pra entender e esse medo que cresce e ncao para ce uma histcoria que se complicou e eu sei bem o por quce qual ce o peso da culpa que eu carrego nos braccos  me entorta as costas e dca um cansacco a maldade do tempo fez eu me afastar de vocce e quando chega a noite e eu ncao consigo dormir meu coracccao acelera e eu sozinha aqui eu mudo o lado da cama  eu ligo a televiscao olhos nos olhos no espelho e o telefone na mcao pro tanto que eu te queria  o perto nunca bastava e essa proximidade ncao dava me perdi no que era real e no que eu inventei reescrevi as memcorias  deixei o cabelo crescer e te dedico uma linda histcoria confessa nem a maldade do tempo consegue me afastar de vocce te contei tantos segredos que jca ncao eram sco meus rimas de um velho dicario que nunca me pertenceu entre palavras ncao ditas  tantas palavras de amor essa paixcao ce antiga e o tempo nunca passou e quando chega a noite  e eu ncao consigo dormir meu coracccao acelera e eu sozinha aqui eu mudo o lado da cama  eu ligo a televiscao olhos nos olhos no espelho e o telefone na minha mcao'
'jocao de barro','maria gadcu','o meu desafio ce andar sozinho esperar no tempo os nossos destinos ncao olhar pra trcas  esperar a paz o que me traz a auscencia do seu olhar traz nas asas um novo dia me ensina a caminhar mesmo eu sendo menino  aprendi oh  meu deus  me traz de volta essa menina porque tudo que eu tenho ce o seu amor jocao de barro  eu te entendo agora por favor  me ensine como guardar meu amor o meu desafio ce andar sozinho esperar no tempo os nossos destinos ncao olhar pra trcas  esperar a paz o que me traz a auscencia do seu olhar traz nas asas um novo dia me ensina a caminhar mesmo eu sendo menino  aprendi oh  meu deus  me traz de volta essa menina porque tudo que eu tenho ce o seu amor jocao de barro  eu te entendo agora por favor  me ensine como guardar meu amor oh  meu deus  me traz de volta essa menina porque tudo que eu tenho ce o seu amor jocao de barro  eu te entendo agora por favor  me ensine como guardar meu amor oh  meu deus  me traz de volta essa menina porque tudo que eu tenho ce o seu amor jocao de barro  eu te entendo agora por favor  me ensine como guardar meu amor meu amor'
'pra vocce dar o nome','5 ca seco','deixa pra lca que de nada adianta esse papo de agora ncao dca que eu te quero ce agora e ncao posso e nem vou te esperar que esse lance de um tempo nunca funcionou pra ncos dois sempre que der mande um sinal de vida de onde estiver dessa vez qualquer coisa que facca eu pensar que vocce estca bem ou deitada nos braccos de um outro qualquer que ce melhor do que sofrer de saudade de mim como eu tco de vocce  pode crer que essa dor eu ncao quero pra ningucem no mundo imagina sco pra vocce quero ce te ver dando volta no mundo indo atrcas de vocce  sabe o quce e rezando pra um dia vocce se encontrar e perceber que o que falta em vocce sou eu deixa pra lca que de nada adianta esse papo de agora ncao dca que eu te quero ce agora e ncao posso e nem vou te esperar que esse lance de um tempo nunca funcionou pra ncos dois sempre que der mande um sinal de vida de onde estiver dessa vez qualquer coisa que facca eu pensar que vocce estca bem ou deitada nos braccos de um outro qualquer que ce melhor do que sofrer de saudade de mim como eu to de vocce  pode crer que essa dor eu ncao quero pra ningucem no mundo imagina sco pra vocce quero ce te ver dando volta no mundo indo atrcas de vocce  sabe o quce e rezando pra um dia vocce se encontrar e perceber que o que falta em vocce sou eu'
'ainda bem','marisa monte','ainda bem que agora encontrei vocce eu realmente ncao sei o que eu fiz pra merecer vocce porque ningucem dava nada por mim quem dava  eu ncao tava a fim atce desacreditei de mim o meu coracccao jca estava acostumado com a solidcao quem diria que a meu lado vocce iria ficar vocce veio pra ficar vocce que me faz feliz vocce que me faz cantar assim o meu coracccao jca estava aposentado sem nenhuma iluscao tinha sido maltratado tudo se transformou agora vocce chegou vocce que me faz feliz vocce que me faz cantar assim o meu coracccao jca estava acostumado com a solidcao quem diria que a meu lado vocce iria ficar vocce veio pra ficar vocce que me faz feliz vocce que me faz cantar assim o meu coracccao jca estava aposentado sem nenhuma iluscao tinha sido maltratado tudo se transformou agora vocce chegou vocce que me faz feliz vocce que me faz cantar assim ainda bem'
'velha infcancia','tribalistas','vocce ce assim um sonho pra mim e quando eu ncao te vejo eu penso em vocce desde o amanhecer atce quando eu me deito eu gosto de vocce e gosto de ficar com vocce meu riso ce tcao feliz contigo o meu melhor amigo ce o meu amor e a gente canta e a gente dancca e a gente ncao se cansa de ser criancca a gente brinca na nossa velha infcancia seus olhos  meu clarcao me guiam dentro da escuridcao seus pces me abrem o caminho eu sigo e nunca me sinto sco vocce ce assim um sonho pra mim quero te encher de beijos eu penso em vocce desde o amanhecer atce quando eu me deito eu gosto de vocce e gosto de ficar com vocce meu riso ce tcao feliz contigo o meu melhor amigo ce o meu amor e a gente canta a gente dancca a gente ncao se cansa de ser criancca a gente brinca na nossa velha infcancia seus olhos  meu clarcao me guiam dentro da escuridcao seus pces me abrem o caminho eu sigo e nunca me sinto sco vocce ce assim um sonho pra mim vocce ce assim vocce ce assim um sonho pra mim vocce ce assim  vocce ce assim um sonho pra mim e quando eu ncao te vejo penso em vocce desde o amanhecer atce quando eu me deito eu gosto de vocce e gosto de ficar com vocce meu riso ce tcao feliz contigo o meu melhor amigo ce o meu amor '
'eu te devoro','djavan','teus sinais me confundem da cabecca aos pces mas por dentro eu te devoro teu olhar ncao me diz exato quem tu ces mesmo assim eu te devoro te devoraria a qualquer precco porque te ignoro ou te conhecco quando chove ou quando faz frio noutro plano  te devoraria tal caetano a leonardo dicaprio ce um milagre tudo que deus criou pensando em vocce fez a via lcactea  fez os dinossauros sem pensar em nada  fez a minha vida e te deu sem contar os dias que me faz morrer sem saber de ti  jogado ca solidcao mas se quer saber se eu quero outra vida ncao  ncao  teus sinais me confundem da cabecca aos pces mas por dentro eu te devoro teu olhar ncao me diz exato quem tu ces mesmo assim eu te devoro te devoraria a qualquer precco porque te ignoro ou te conhecco quando chove ou quando faz frio noutro plano  te devoraria tal caetano a leonardo dicaprio ce um milagre tudo que deus criou pensando em vocce fez a via lcactea  fez os dinossauros sem pensar em nada  fez a minha vida e te deu sem contar os dias que me faz morrer sem saber de ti  jogado ca solidcao mas se quer saber se eu quero outra vida ncao  ncao  eu quero mesmo ce viver pra esperar  esperar devorar vocce eu quero mesmo ce viver pra esperar  esperar devorar vocce viver  viver pra esperar vocce quero viver pra esperar vocce quero esperar vocce'
'pra sonhar','marcelo jeneci','quando te vi passar fiquei paralisado tremi atce o chcao como um terremoto no japcao um vento  um tufcao uma batedeira sem botcao foi assim  viu me vi na sua mcao perdi a hora de voltar para o trabalho voltei pra casa e disse adeus pra tudo que eu conquistei mil coisas eu deixei sco pra te falar largo tudo se a gente se casar domingo na praia  no sol  no mar ou num navio a navegar num avicao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que hca uma histcoria pra sonhar pra sonhar o que era sonho se tornou realidade de pouco em pouco a gente foi erguendo o nosso prcoprio trem nossa jerusalcem nosso mundo  nosso carrossel vai e vem vai e ncao para nunca mais de tanto ncao parar a gente chegou lca do outro lado da montanha onde tudo comeccou quando sua voz falou pra onde vocce quiser eu vou largo tudo se a gente se casar domingo na praia  no sol  no mar ou num navio a navegar num avicao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que hca uma histcoria pra contar domingo na praia  no sol  no mar ou num navio a navegar num avicao a decolar indo sem data pra voltar toda de branco no altar quem vai sorrir  quem vai chorar  ave maria  sei que hca uma histcoria pra contar pra contar'
'xote ecolcogico','luiz gonzaga','ncao posso respirar  ncao posso mais nadar a terra estca morrendo  ncao dca mais pra plantar e se plantar ncao nasce  se nascer ncao dca atce pinga da boa ce difcicil de encontrar ncao posso respirar  ncao posso mais nadar a terra estca morrendo  ncao dca mais pra plantar e se plantar ncao nasce  se nascer ncao dca atce pinga da boa ce difcicil de encontrar cadce a flor que estava aqui  poluicccao comeu e o peixe que ce do mar  poluicccao comeu e o verde onde ce que estca  poluicccao comeu nem o chico mendes sobreviveu'
'se','djavan','vocce disse que ncao sabe se ncao mas tambcem ncao tem certeza que sim quer saber  quando ce assim  deixa vir do coracccao vocce sabe que eu sco penso em vocce vocce diz que vive pensando em mim pode ser  se ce assim vocce tem que largar a mcao do ncao soltar essa louca  arder de paixcao ncao hca como doer pra decidir sco dizer sim ou ncao mas vocce adora um se eu levo a scerio  mas vocce disfarcca vocce me diz ca becca e eu nessa de horror e me remete ao frio que vem lca do sul insiste em zero a zero e eu quero um a um sei lca o que te dca  ncao quer meu calor scao jorge  por favor  me empresta o dragcao mais fcacil aprender japonces em braile do que vocce decidir se dca ou ncao'
