MUSICA,ARTISTA,LETRA
'sacramento da comunhcao','nelsinho corrcea','senhor  quando te vejo no sacramento da comunhcao sinto o cceu se abrir e uma luz a me atingir esfriando minha cabecca e esquentando meu coracccao senhor  graccas e louvores sejam dadas a todo momento quero te louvar na dor  na alegria e no sofrimento e se em meio ca tribulacccao  eu me esquecer de ti ilumina minhas trevas com tua luz jesus  fonte de misericcordia que jorra do templo jesus  o filho da rainha jesus  rosto divino do homem jesus  rosto humano de deus chego muitas vezes em tua casa  meu senhor triste  abatido  precisando de amor mas depois da comunhcao tua casa ce meu coracccao entcao sinto o cceu dentro de mim ncao comungo porque merecco  isso eu sei  oh meu senhor comungo pois preciso de ti quando faltei ca missa  eu fugia de mim e de ti mas agora eu voltei  por favor aceita me jesus  fonte de misericcordia que jorra do templo jesus  o filho da rainha jesus  rosto divino do homem jesus  rosto humano de deus'
'que nem jilco','luiz gonzaga','se a gente lembra sco por lembrar o amor que a gente um dia perdeu saudade intce que assim ce bom pro cabra se convencer que ce feliz sem saber pois ncao sofreu porcem se a gente vive a sonhar com algucem que se deseja rever saudade  entonce  aci ce ruim eu tiro isso por mim que vivo doido a sofrer ai quem me dera voltar pros braccos do meu xodco saudade assim faz roer e amarga qui nem jilco mas ningucem pode dizer que me viu triste a chorar saudade  o meu remcedio ce cantar'
'pra ncao dizer que ncao falei das flores','geraldo vandrce','caminhando e cantando e seguindo a cancccao somos todos iguais braccos dados ou ncao nas escolas  nas ruas campos  construcccoes caminhando e cantando e seguindo a cancccao vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer pelos campos hca fome em grandes plantacccoes pelas ruas marchando indecisos cordcoes ainda fazem da flor seu mais forte refrcao e acreditam nas flores vencendo o canhcao vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer hca soldados armados amados ou ncao quase todos perdidos de armas na mcao nos quartceis lhes ensinam uma antiga licccao de morrer pela pcatria e viver sem razcao vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer nas escolas  nas ruas campos  construcccoes somos todos soldados armados ou ncao caminhando e cantando e seguindo a cancccao somos todos iguais braccos dados ou ncao os amores na mente as flores no chcao a certeza na frente a histcoria na mcao caminhando e cantando e seguindo a cancccao aprendendo e ensinando uma nova licccao vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer vem  vamos embora que esperar ncao ce saber quem sabe faz a hora ncao espera acontecer'
'vocce ce linda','caetano veloso','fonte de mel nos olhos de gueixa kabuki  mcascara choque entre o azul e o cacho de accacias luz das accacias vocce ce mcae do sol a sua coisa ce toda tcao certa beleza esperta vocce me deixa a rua deserta quando atravessa e ncao olha pra trcas linda e sabe viver vocce me faz feliz esta cancccao ce sco pra dizer e diz vocce ce linda mais que demais vocce ce linda sim onda do mar do amor que bateu em mim vocce ce forte dentes e mcusculos peitos e lcabios vocce ce forte letras e mcusicas todas as mcusicas que ainda hei de ouvir no abaetce areias e estrelas ncao scao mais belas do que vocce mulher das estrelas mina de estrelas diga o que vocce quer  vocce ce linda e sabe viver vocce me faz feliz esta cancccao ce sco pra dizer e diz vocce ce linda mais que demais vocce ce linda sim onda do mar do amor que bateu em mim gosto de ver vocce no seu ritmo dona do carnaval gosto de ter sentir seu estilo ir no seu cintimo nunca me facca mal  linda mais que demais vocce ce linda sim onda do mar do amor que bateu em mim vocce ce linda e sabe viver vocce me faz feliz esta cancccao ce sco pra dizer e diz'
'carta de amor','maria bethcania','ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  que eu ncao ando sco ncao mexe ncao  ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  que eu ncao ando sco eu tenho zumbi  besouro  o chefe dos tupis sou tupinambca  tenho os erces  caboclo boiadeiro mcaos de cura  morubichabas  cocares zarabatanas  curares  flechas e altares a velocidade da luz  o escuro da mata escura o breu  o silcencio  a espera eu tenho jesus  maria e josce todos os pajces em minha companhia o menino deus brinca e dorme nos meus sonhos o poeta me contou ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  que eu ncao ando sco ncao mexe ncao  ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  eu ncao ando sco ncao misturo  ncao me dobro a rainha do mar anda de mcaos dadas comigo me ensina o baile das ondas e canta  canta  canta pra mim ce do ouro de oxum que ce feita a armadura que cobre meu corpo garante meu sangue  minha garganta o veneno do mal ncao acha passagem e em meu coracccao  maria acende sua luz e me aponta o caminho me sumo no vento  cavalgo no raio de iansca giro o mundo  viro  reviro tco no recconcavo  tco em fez voo entre as estrelas  brinco de ser uma tracco o cruzeiro do sul com a tocha da fogueira de jocao menino rezo com as trces marias  vou alcem me recolho no esplendor das nebulosas  descanso nos vales  montanhas durmo na forja de ogum  mergulho no calor da lava dos vulccoes corpo vivo de xangco ncao ando no breu  nem ando na treva ncao ando no breu  nem ando na treva ce por onde eu vou que o santo me leva ce por onde eu vou que o santo me leva ncao ando no breu  nem ando na treva ncao ando no breu  nem ando na treva ce por onde eu vou que o santo me leva ce por onde eu vou que o santo me leva medo ncao me alcancca no deserto me acho  facco cobra morder o rabo  escorpicao virar pirilampo meus pces recebem bcalsamos  unguentos suaves das mcaos de maria irmca de marta e lcazaro  no ocasis de bethcania pensou que eu ando sco  atente ao tempo  ncao comecca  nem termina  ce nunca  ce sempre ce tempo de reparar na balancca de nobre cobre que o rei equilibra fulmina o injusto  deixa nua a justicca eu ncao provo do teu fel  eu ncao piso no teu chcao e pra onde vocce for  ncao leva o meu nome ncao e pra onde vocce for  ncao leva o meu nome ncao eu ncao provo do teu fel  eu ncao piso no teu chcao e pra onde vocce for  ncao leva o meu nome ncao e pra onde vocce for  ncao leva o meu nome ncao onde vai  valente  vocce secou  seus olhos insones secaram ncao veem brotar a relva que cresce livre e verde longe da tua cegueira seus ouvidos se fecharam a qualquer mcusica  a qualquer som nem o bem  nem o mal pensam em ti  ningucem te escolhe vocce pisa na terra  mas ncao a sente  apenas pisa apenas vaga sobre o planeta  e jca nem ouve as teclas do teu piano vocce estca tcao mirrado que nem o diabo te ambiciona  ncao tem alma vocce ce o oco  do oco  do oco  do sem fim do mundo o que ce teu jca tca guardado ncao sou eu quem vou lhe dar ncao sou eu quem vou lhe dar ncao sou eu quem vou lhe dar o que ce teu jca tca guardado ncao sou eu quem vou lhe dar ncao sou eu quem vou lhe dar ncao sou eu quem vou lhe dar eu posso engolir vocce  sco pra cuspir depois minha fome ce matceria que vocce ncao alcancca desde o leite do peito de minha mcae atce o sem fim dos versos  versos  versos que brotam do poeta em toda poesia sob a luz da lua que deita na palma da inspiracccao de caymmi se choro  quando choro  e minha lcagrima cai ce pra regar o capim que alimenta a vida chorando eu refacco as nascentes que vocce secou se desejo  o meu desejo faz subir marces de sal e sortilcegio vivo de cara pra o vento na chuva  e quero me molhar o tercco de fcatima e o cordcao de gandhi cruzam o meu peito sou como a haste fina  que qualquer brisa verga  mas nenhuma espada corta ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  que eu ncao ando sco ncao mexe ncao  ncao mexe comigo  que eu ncao ando sco eu ncao ando sco  que eu ncao ando sco'
'cancccao da amcerica','milton nascimento','amigo ce coisa para se guardar debaixo de sete chaves dentro do coracccao assim falava a cancccao que na amcerica ouvi mas quem cantava chorou ao ver o seu amigo partir mas quem ficou  no pensamento voou com seu canto que o outro lembrou e quem voou  no pensamento ficou com a lembrancca que o outro cantou amigo ce coisa para se guardar no lado esquerdo do peito mesmo que o tempo e a distcancia digam  ncao  mesmo esquecendo a cancccao o que importa ce ouvir a voz que vem do coracccao pois seja o que vier  venha o que vier qualquer dia  amigo  eu volto a te encontrar qualquer dia  amigo  a gente vai se encontrar'
'ccalice','chico buarque','pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice de vinho tinto de sangue pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice de vinho tinto de sangue como beber dessa bebida amarga tragar a dor  engolir a labuta mesmo calada a boca  resta o peito silcencio na cidade ncao se escuta de que me vale ser filho da santa melhor seria ser filho da outra outra realidade menos morta tanta mentira  tanta forcca bruta pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice de vinho tinto de sangue como ce difcicil acordar calado se na calada da noite eu me dano quero lanccar um grito desumano que ce uma maneira de ser escutado esse silcencio todo me atordoa atordoado eu permanecco atento na arquibancada pra a qualquer momento ver emergir o monstro da lagoa pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice de vinho tinto de sangue de muito gorda a porca jca ncao anda de muito usada a faca jca ncao corta como ce difcicil  pai  abrir a porta essa palavra presa na garganta esse pileque homcerico no mundo de que adianta ter boa vontade mesmo calado o peito  resta a cuca dos bcebados do centro da cidade pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice pai  afasta de mim esse ccalice de vinho tinto de sangue talvez o mundo ncao seja pequeno nem seja a vida um fato consumado quero inventar o meu prcoprio pecado quero morrer do meu prcoprio veneno quero perder de vez tua cabecca minha cabecca perder teu jucizo quero cheirar fumacca de coleo diesel me embriagar atce que algucem me esquecca'
'o que ce  o que ce ','gonzaguinha','eu fico com a pureza da resposta das crianccas ce a vida  ce bonita e ce bonita viver e ncao ter a vergonha de ser feliz cantar e cantar e cantar a beleza de ser um eterno aprendiz ah meu deus  eu sei  eu sei que a vida devia ser bem melhor e serca mas isso ncao impede que eu repita ce bonita  ce bonita e ce bonita viver e ncao ter a vergonha de ser feliz cantar e cantar e cantar a beleza de ser um eterno aprendiz ah meu deus  eu sei  eu sei que a vida devia ser bem melhor e serca mas isso ncao impede que eu repita ce bonita  ce bonita e ce bonita e a vida e a vida o que ce  diga lca  meu irmcao ela ce a batida de um coracccao ela ce uma doce iluscao hce  hco  e a vida ela ce maravilha ou ce sofrimento  ela ce alegria ou lamento  o que ce  o que ce  meu irmcao hca quem fale que a vida da gente ce um nada no mundo ce uma gota  ce um tempo que nem dca um segundo hca quem fale que ce um divino mistcerio profundo ce o sopro do criador numa atitude repleta de amor vocce diz que ce luta e prazer ele diz que a vida ce viver ela diz que melhor ce morrer pois amada ncao ce e o verbo ce sofrer eu sco sei que confio na mocca e na mocca eu ponho a forcca da fce somos ncos que fazemos a vida como der  ou puder  ou quiser sempre desejada por mais que esteja errada ningucem quer a morte sco sacude e sorte e a pergunta roda e a cabecca agita eu fico com a pureza da resposta das crianccas ce a vida  ce bonita e ce bonita viver e ncao ter a vergonha de ser feliz cantar e cantar e cantar a beleza de ser um eterno aprendiz ah meu deus  eu sei  eu sei que a vida devia ser bem melhor e serca mas isso ncao impede que eu repita ce bonita  ce bonita e ce bonita'
'oceano','djavan','assim que o dia amanheceu lca no mar alto da paixcao dava pra ver o tempo ruir cadce vocce  que solidcao  esquecera de mim  enfim  de tudo o que hca na terra ncao hca nada em lugar nenhum que vca crescer sem vocce chegar longe de ti tudo parou ningucem sabe o que eu sofri amar ce um deserto e seus temores vida que vai na sela dessas dores ncao sabe voltar  me dca teu calor vem me fazer feliz porque eu te amo vocce descagua em mim  e eu  oceano me esquecco que amar ce quase uma dor sco sei viver se for por vocce '
'dia branco','geraldo azevedo','se vocce vier pro que der e vier comigo eu lhe prometo o sol se hoje o sol sair ou a chuva se a chuva cair se vocce vier atce onde a gente chegar numa pracca na beira do mar num pedacco de qualquer lugar nesse dia branco se branco ele for esse tanto esse canto de amor oh  oh  oh se vocce quiser e vier pro que der e vier comigo se vocce vier pro que der e vier comigo eu lhe prometo o sol se hoje o sol sair ou a chuva se a chuva cair se vocce vier atce onde a gente chegar numa pracca na beira do mar num pedacco de qualquer lugar e nesse dia branco se branco ele for esse canto esse tcao grande amor grande amor se vocce quiser e vier pro que der e vier comigo comigo  comigo'
'ai que saudade d occe','geraldo azevedo','ncao se admire se um dia um beija flor invadir a porta da tua casa te der um beijo e partir fui eu que mandei o beijo que ce pra matar meu desejo faz tempo que eu ncao te vejo ai que saudade d occe se um dia occe se lembrar escreva uma carta pra mim bote logo no correio com a frase dizendo assim faz tempo que eu ncao te vejo quero matar meu desejo te mando um monte de beijo ai que saudade sem fim e se quiser recordar aquele nosso namoro quando eu ia viajar vocce cacia no choro eu chorando pela estrada mas o que que eu posso fazer trabalhar ce minha sina eu gosto mesmo ce d occe'
'jocao e maria','chico buarque','agora eu era o hercoi e o meu cavalo sco falava inglces a noiva do cowboy era vocce alcem das outras trces eu enfrentava os batalhcoes os alemcaes e seus canhcoes guardava o meu bodoque e ensaiava o rock para as matinces agora eu era o rei era o bedel e era tambcem juiz e pela minha lei a gente era obrigado a ser feliz e vocce era a princesa que eu fiz coroar e era tcao linda de se admirar que andava nua pelo meu pacis ncao  ncao fuja ncao finja que agora eu era o seu brinquedo eu era o seu picao o seu bicho preferido vem  me dce a mcao a gente agora jca ncao tinha medo no tempo da maldade acho que a gente nem tinha nascido agora era fatal que o faz de conta terminasse assim pra lca deste quintal era uma noite que ncao tem mais fim pois vocce sumiu no mundo sem me avisar e agora eu era um louco a perguntar o que ce que a vida vai fazer de mim '
'numa sala de reboco','luiz gonzaga','todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco enquanto o fole tca fungando  tca gemendo vou danccando e vou dizendo meu sofrer pra ela sco e ningucem nota que eu estou lhe conversando e nosso amor vai aumentando pra que coisa mais melhor  todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco sco fico triste quando o dia amanhece ai  meu deus  se eu pudesse acabar a separacccao pra ncos viver igual a dois a sanguessugas e nosso amor pede mais fuga do que essa que nos dcao todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco todo tempo quanto houver pra mim ce pouco pra danccar com meu benzinho numa sala de reboco'
'azul da cor do mar','tim maia','ah  se o mundo inteiro me pudesse ouvir tenho muito pra contar  dizer que aprendi e na vida a gente tem que entender que um nasce pra sofrer enquanto o outro ri mas quem sofre sempre tem que procurar pelo menos vir achar razcao para viver ver na vida algum motivo pra sonhar ter um sonho todo azul azul da cor do mar mas quem sofre sempre tem que procurar pelo menos vir achar razcao para viver ver na vida algum motivo pra sonhar ter um sonho todo azul azul da cor do mar'
'a lista','oswaldo montenegro','facca uma lista de grandes amigos quem vocce mais via hca dez anos atrcas quantos vocce ainda vce todo dia quantos vocce jca ncao encontra mais facca uma lista dos sonhos que tinha quantos vocce desistiu de sonhar  quantos amores jurados pra sempre quantos vocce conseguiu preservar    onde vocce ainda se reconhece na foto passada ou no espelho de agora  hoje ce do jeito que achou que seria quantos amigos vocce jogou fora  quantos mistcerios que vocce sondava quantos vocce conseguiu entender  quantos segredos que vocce guardava hoje scao bobos ningucem quer saber  quantas mentiras vocce condenava  quantas vocce teve que cometer  quantos defeitos sanados com o tempo eram o melhor que havia em vocce  quantas cancccoes que vocce ncao cantava hoje assovia pra sobreviver  quantas pessoas que vocce amava hoje acredita que amam vocce '
'ela une todas as coisas','jorge vercillo','ela une todas as coisas como eu poderia explicar um doce mistcerio de rio com a transparcencia de um mar ela une todas as coisas quantos elementos vcao lca  sentimento fundo de cagua com toda leveza do ar ela estca em todas as coisas atce no vazio que me dca quando vejo a tarde cair e ela ncao estca talvez ela saiba de cor tudo que eu preciso sentir pedra preciosa de olhar ela sco precisa existir pra me completar ela une o mar com o meu olhar ela sco precisa existir pra me completar ela une as quatro estacccoes une dois caminhos num sco sempre que eu me vejo perdido une amigos ao meu redor ela estca em todas as coisas atce no vazio que me dca quando vejo a tarde cair e ela ncao estca talvez ela saiba de cor tudo que eu preciso sentir pedra preciosa de olhar ela sco precisa existir para me completar ela une o mar com o meu olhar ela sco precisa existir pra me completar ela une o mar com o meu olhar ela sco precisa existir pra me completar une o meu viver com o seu viver ela sco precisa existir para me completar ela une o mar com o meu olhar ela sco precisa existir pra me completar'
'o xote das meninas','elba ramalho','mandacaru quando fulcora na seca ce o sinal que a chuva chega no sertcao toda menina que enjoa da boneca ce sinal que o amor jca chegou no coracccao meia comprida  ncao quer mais sapato baixo vestido bem cintado ncao quer mais vestir timcao ela sco quer sco pensa em namorar ela sco quer sco pensa em namorar ela sco quer sco pensa em namorar ela sco quer sco pensa em namorar de manhca cedo  jca tca pintada sco vive suspirando  sonhando acordada o pai leva ao doutco a filha adoentada ncao come  ncao estuda  ncao dorme  ncao quer nada mas o doutco nem examina chamando o pai de lado lhe diz logo em surdina  o mal ce da idade e que pra tal menina ncao hca um sco remcedio em toda a medicina'
'o meu amor','chico buarque','o meu amor tem um jeito manso que ce sco seu e que me deixa louca quando me beija a boca a minha pele toda fica arrepiada e me beija com calma e fundo atce minh alma se sentir beijada o meu amor tem um jeito manso que ce sco seu que rouba os meus sentidos  viola os meus ouvidos com tantos segredos lindos e indecentes depois brinca comigo  ri do meu umbigo e me crava os dentes eu sou sua menina  viu  e ele ce o meu rapaz meu corpo ce testemunha do bem que ele me faz o meu amor tem um jeito manso que ce sco seu que me deixa maluca  quando me rocca a nuca e quase me machuca com a barba mal feita e de pousar as coxas entre as minhas coxas quando ele se deita o meu amor tem um jeito manso que ce sco seu de me fazer rodeios  de me beijar os seios me beijar o ventre e me deixar em brasa desfruta do meu corpo como se o meu corpo fosse a sua casa eu sou sua menina  viu  e ele ce o meu rapaz meu corpo ce testemunha do bem que ele me faz'
'o bcebado e a equilibrista','elis regina','cacia a tarde feito um viaduto e um bcebado trajando luto me lembrou carlitos a lua tal qual a dona do bordel pedia a cada estrela fria um brilho de aluguel e nuvens lca no mata borrcao do cceu chupavam manchas torturadas que sufoco  louco  o bcebado com chapceu coco fazia irrevercencias mil pra noite do brasil meu brasil  que sonha com a volta do irmcao do henfil com tanta gente que partiu num rabo de foguete chora a nossa pcatria mcae gentil choram marias e clarisses no solo do brasil mas sei que uma dor assim pungente ncao hca de ser inutilmente a esperancca dancca na corda bamba de sombrinha e em cada passo dessa linha pode se machucar azar  a esperancca equilibrista sabe que o show de todo artista tem que continuar'
'construcccao','chico buarque','amou daquela vez como se fosse a cultima beijou sua mulher como se fosse a cultima e cada filho seu como se fosse o cunico e atravessou a rua com seu passo tcimido subiu a construcccao como se fosse mcaquina ergueu no patamar quatro paredes scolidas tijolo com tijolo num desenho mcagico seus olhos embotados de cimento e lcagrima sentou pra descansar como se fosse scabado comeu feijcao com arroz como se fosse um prcincipe bebeu e soluccou como se fosse um ncaufrago danccou e gargalhou como se ouvisse mcusica e tropeccou no cceu como se fosse um bcebado e flutuou no ar como se fosse um pcassaro e se acabou no chcao feito um pacote flcacido agonizou no meio do passeio pcublico morreu na contramcao atrapalhando o trcafego amou daquela vez como se fosse o cultimo beijou sua mulher como se fosse a cunica e cada filho seu como se fosse o prcodigo e atravessou a rua com seu passo bcebado subiu a construcccao como se fosse scolido ergueu no patamar quatro paredes mcagicas tijolo com tijolo num desenho lcogico seus olhos embotados de cimento e trcafego sentou pra descansar como se fosse um prcincipe comeu feijcao com arroz como se fosse o mcaximo bebeu e soluccou como se fosse mcaquina danccou e gargalhou como se fosse o prcoximo e tropeccou no cceu como se ouvisse mcusica e flutuou no ar como se fosse scabado e se acabou no chcao feito um pacote tcimido agonizou no meio do passeio ncaufrago morreu na contramcao atrapalhando o pcublico amou daquela vez como se fosse mcaquina beijou sua mulher como se fosse lcogico ergueu no patamar quatro paredes flcacidas sentou pra descansar como se fosse um pcassaro e flutuou no ar como se fosse um prcincipe e se acabou no chcao feito um pacote bcebado morreu na contra mcao atrapalhando o scabado'
'alegria  alegria','caetano veloso','caminhando contra o vento sem lencco e sem documento no sol de quase dezembro eu vou o sol se reparte em crimes espacconaves  guerrilhas em cardinales bonitas eu vou em caras de presidentes em grandes beijos de amor em dentes  pernas  bandeiras bomba e brigitte bardot o sol nas bancas de revista me enche de alegria e preguicca quem lce tanta notcicia eu vou por entre fotos e nomes os olhos cheios de cores o peito cheio de amores vcaos eu vou por que ncao  por que ncao ela pensa em casamento e eu nunca mais fui ca escola sem lencco e sem documento eu vou eu tomo uma coca cola ela pensa em casamento e uma cancccao me consola eu vou por entre fotos e nomes sem livros e sem fuzil sem fome  sem telefone no coracccao do brasil ela nem sabe atce pensei em cantar na televiscao o sol ce tcao bonito eu vou sem lencco  sem documento nada no bolso ou nas mcaos eu quero seguir vivendo  amor eu vou por que ncao  por que ncao  por que ncao  por que ncao  por que ncao  por que ncao '
'naquela mesa','nelson gonccalves','naquela mesa ele sentava sempre e me dizia sempre o que ce viver melhor naquela mesa ele contava histcorias que hoje na memcoria eu guardo e sei de cor naquela mesa ele juntava gente e contava contente o que fez de manhca e nos seus olhos era tanto brilho que mais que seu filho eu fiquei seu fca eu ncao sabia que docia tanto uma mesa num canto  uma casa e um jardim se eu soubesse o quanto dcoi a vida essa dor tcao docida ncao docia assim agora resta uma mesa na sala e hoje ningucem mais fala do seu bandolim naquela mesa tca faltando ele e a saudade dele tca doendo em mim naquela mesa tca faltando ele e a saudade dele tca doendo em mim'
'podres poderes','caetano veloso','enquanto os homens exercem seus podres poderes motos e fuscas avanccam os sinais vermelhos e perdem os verdes somos uns boccais queria querer gritar setecentas mil vezes como scao lindos como scao lindos os burgueses e os japoneses mas tudo ce muito mais serca que nunca faremos sencao confirmar a incompetcencia da amcerica catcolica que sempre precisarca de ridciculos tiranos serca  serca  que serca  que serca  que serca  serca que esta minha estcupida retcorica terca que soar  terca que se ouvir por mais zil anos enquanto os homens exercem seus podres poderes cindios e padres e bichas negros e mulheres e adolescentes fazem o carnaval queria querer cantar afinado com eles silenciar em respeito ao seu transe num cextase ser indecente mas tudo ce muito mau ou entcao cada paisano e cada capataz com sua burrice farca jorrar sangue demais nos pantanais  nas cidades caatingas e nos gerais serca que apenas os hermetismos pascoais e os tons  os mil tons seus sons e seus dons geniais nos salvam  nos salvarcao dessas trevas e nada mais enquanto os homens exercem seus podres poderes morrer e matar de fome de raiva e de sede scao tantas vezes gestos naturais eu quero aproximar o meu cantar vagabundo daqueles que velam pela alegria do mundo indo e mais fundo tins e bens e tais serca que nunca faremos sencao confirmar na incompetcencia da amcerica catcolica que sempre precisarca de ridciculos tiranos serca  serca  que serca  que serca  que serca  serca que essa minha estcupida retcorica terca que soar  terca que se ouvir por mais zil anos ou entcao cada paisano e cada capataz com sua burrice farca jorrar sangue demais nos pantanais  nas cidades caatingas e nos gerais serca que apenas os hermetismos pascoais e os tons  os mil tons seus sons e seus dons geniais nos salvam  nos salvarcao dessas trevas e nada mais enquanto os homens exercem seus podres poderes morrer e matar de fome de raiva e de sede scao tantas vezes gestos naturais eu quero aproximar o meu cantar vagabundo daqueles que velam pela alegria do mundo indo mais fundo tins e bens e tais  indo mais fundo tins e bens e tais  indo mais fundo tins e bens e tais '
'a sua','marisa monte','eu sco quero que vocce saiba que estou pensando em vocce agora e sempre mais eu sco quero que vocce oucca a cancccao que eu fiz pra dizer que eu te adoro cada vez mais e que eu te quero sempre em paz tco com sintomas de saudade tco pensando em vocce como eu te quero tanto bem aonde for ncao quero dor eu tomo conta de vocce mas te quero livre tambcem como o tempo vai e o vento vem eu sco quero que vocce caiba no meu colo porque eu te adoro cada vez mais eu sco quero que vocce siga para onde quiser que eu ncao vou ficar muito atrcas tco com sintomas de saudade tco pensando em vocce como eu te quero tanto bem aonde for ncao quero dor eu tomo conta de vocce mas te quero livre tambcem como o tempo vai e o vento vem eu sco quero que vocce saiba que estou pensando em vocce mas te quero livre tambcem como o tempo vai e o vento vem e que eu te quero livre tambcem como o tempo vai e o vento vem'
'alucinacccao','belchior','eu ncao estou interessado em nenhuma teoria em nenhuma fantasia nem no algo mais nem em tinta pro meu rosto ou oba oba  ou melodia para acompanhar bocejos sonhos matinais eu ncao estou interessado em nenhuma teoria nem nessas coisas do oriente romances astrais a minha alucinacccao ce suportar o dia a dia e meu delcirio ce a expericencia com coisas reais um preto  um pobre uma estudante uma mulher sozinha blue jeans e motocicletas pessoas cinzas normais garotas dentro da noite revcolver  cheira cachorro os humilhados do parque com os seus jornais carneiros  mesa  trabalho meu corpo que cai do oitavo andar e a solidcao das pessoas dessas capitais a violcencia da noite o movimento do trcafego um rapaz delicado e alegre que canta e requebra ce demais  cravos  espinhas no rosto rock  hot dog play it cool  baby doze jovens coloridos dois policiais cumprindo o seu duro dever e defendendo o seu amor e nossa vida cumprindo o seu duro dever e defendendo o seu amor e nossa vida mas eu ncao estou interessado em nenhuma teoria em nenhuma fantasia nem no algo mais longe o profeta do terror que a laranja meccanica anuncia amar e mudar as coisas me interessa mais amar e mudar as coisas amar e mudar as coisas me interessa mais um preto  um pobre uma estudante uma mulher sozinha blue jeans e motocicletas pessoas cinzas normais garotas dentro da noite revcolver  cheira cachorro os humilhados do parque com os seus jornais carneiros  mesa  trabalho meu corpo que cai do oitavo andar e a solidcao das pessoas dessas capitais a violcencia da noite o movimento do trcafego um rapaz delicado e alegre que canta e requebra ce demais  cravos  espinhas no rosto rock  hot dog play it cool  baby doze jovens coloridos dois policiais cumprindo o seu duro dever e defendendo o seu amor e nossa vida cumprindo o seu duro dever e defendendo o seu amor e nossa vida mas eu ncao estou interessado em nenhuma teoria em nenhuma fantasia nem no algo mais longe o profeta do terror que a laranja meccanica anuncia amar e mudar as coisas me interessa mais amar e mudar as coisas amar e mudar as coisas me interessa mais'
'apesar de vocce','chico buarque','hoje vocce ce quem manda falou  tca falado ncao tem discusscao a minha gente hoje anda falando de lado e olhando pro chcao  viu vocce que inventou esse estado e inventou de inventar toda a escuridcao vocce que inventou o pecado esqueceu se de inventar o perdcao apesar de vocce amanhca hca de ser outro dia eu pergunto a vocce onde vai se esconder da enorme euforia como vai proibir quando o galo insistir em cantar cagua nova brotando e a gente se amando sem parar quando chegar o momento esse meu sofrimento vou cobrar com juros  juro todo esse amor reprimido esse grito contido este samba no escuro vocce que inventou a tristeza ora  tenha a fineza de desinventar vocce vai pagar e ce dobrado cada lcagrima rolada nesse meu penar apesar de vocce amanhca hca de ser outro dia inda pago pra ver o jardim florescer qual vocce ncao queria vocce vai se amargar vendo o dia raiar sem lhe pedir licencca e eu vou morrer de rir que esse dia hca de vir antes do que vocce pensa apesar de vocce amanhca hca de ser outro dia vocce vai ter que ver a manhca renascer e esbanjar poesia como vai se explicar vendo o cceu clarear de repente  impunemente como vai abafar nosso coro a cantar na sua frente apesar de vocce amanhca hca de ser outro dia vocce vai se dar mal etc  e tal lca lca lca lca laica'
'a palo seco','belchior','se vocce vier me perguntar por onde andei no tempo em que vocce sonhava de olhos abertos  lhe direi amigo  eu me desesperava sei que assim falando pensas que esse desespero ce moda em 76 mas ando mesmo descontente desesperadamente  eu grito em portuguces mas ando mesmo descontente desesperadamente  eu grito em portuguces tenho vinte e cinco anos de sonho e de sangue e de amcerica do sul por forcca deste destino um tango argentino me vai bem melhor que um blues sei que assim falando pensas que esse desespero ce moda em 76 e eu quero ce que esse canto torto feito faca  corte a carne de vocces e eu quero ce que esse canto torto feito faca  corte a carne de vocces tenho vinte e cinco anos de sonho e de sangue e de amcerica do sul por forcca deste destino um tango argentino me vai bem melhor que um blues sei que assim falando  pensas que esse desespero ce moda em 76 e eu quero ce que esse canto torto feito faca  corte a carne de vocces e eu quero ce que esse canto torto feito faca  corte a carne de vocces'
